image_id,model,nmpjpe,n_valid_joints,is_detection_failure,is_outlier,torso_length,n_persons_in_image,is_single_person,error_left_shoulder,error_right_shoulder,error_left_elbow,error_right_elbow,error_left_wrist,error_right_wrist,error_left_hip,error_right_hip,error_left_knee,error_right_knee,error_left_ankle,error_right_ankle
139,MoveNet_SP_Lightning,,0,True,False,47.762432936357,1,True,,,,,,,,,,,,
785,MoveNet_SP_Lightning,6.094558207078667,7,False,False,94.86832980505137,1,True,4.850096535447589,,,,,8.448242287841643,,3.5201454435009922,9.390669274190506,3.7255068119668633,7.675010780331065,5.0522363162720065
885,MoveNet_SP_Lightning,,0,True,False,51.29571132170798,3,False,,,,,,,,,,,,
1000,MoveNet_SP_Lightning,6.625761079741505,1,False,False,113.1591799192624,11,False,,,,,6.625761079741505,,,,,,,
1490,MoveNet_SP_Lightning,,0,True,False,29.34706118165838,1,True,,,,,,,,,,,,
2153,MoveNet_SP_Lightning,,0,True,False,57.0087712549569,4,False,,,,,,,,,,,,
2299,MoveNet_SP_Lightning,,0,True,False,37.0,13,False,,,,,,,,,,,,
2473,MoveNet_SP_Lightning,,0,True,False,44.02556075736003,2,False,,,,,,,,,,,,
2532,MoveNet_SP_Lightning,21.851649119269346,2,False,False,45.09988913511872,1,True,,,24.536987150660625,,,,,19.166311087878064,,,,
2685,MoveNet_SP_Lightning,,0,True,False,127.78301921616972,5,False,,,,,,,,,,,,
3156,MoveNet_SP_Lightning,7.808445693380165,6,False,False,202.72210042321484,1,True,4.033319687586333,2.514724443163432,4.306287223210733,4.08131091803257,6.368219122492151,,,25.546812765795767,,,,
3934,MoveNet_SP_Lightning,9.96298243707946,2,False,False,82.97590011563598,6,False,,5.6079862476477,,,,,,14.317978626511223,,,,
4765,MoveNet_SP_Lightning,14.119645527113558,2,False,False,47.71268175233918,1,True,,,,8.678544873261407,,19.560746180965708,,,,,,
5001,MoveNet_SP_Lightning,8.249311806686292,1,False,False,125.52788534823647,11,False,8.249311806686292,,,,,,,,,,,
5060,MoveNet_SP_Lightning,8.006686538475233,1,False,False,83.59575348066431,1,True,8.006686538475233,,,,,,,,,,,
5529,MoveNet_SP_Lightning,13.385159451420197,4,False,False,89.56840960963859,1,True,,18.495074298123495,,,17.438023478384896,,10.945520960497742,6.662019068674656,,,,
5586,MoveNet_SP_Lightning,16.49436389858487,5,False,False,21.70829334609241,1,True,,,,,,,14.03824760709946,28.442022995628076,18.589788590202396,7.746238491459764,,13.65552180853465
6460,MoveNet_SP_Lightning,,0,True,False,27.518175811634027,1,True,,,,,,,,,,,,
6471,MoveNet_SP_Lightning,,0,True,False,70.50709184188496,8,False,,,,,,,,,,,,
7088,MoveNet_SP_Lightning,11.950012594429229,5,False,False,69.85162847063768,1,True,9.423567051925254,,,,,,16.29697399621861,23.695132914982214,,7.539474855992314,2.7949141530277557,
7278,MoveNet_SP_Lightning,,0,True,False,64.92495668077107,1,True,,,,,,,,,,,,
7281,MoveNet_SP_Lightning,,0,True,False,50.566787519082126,3,False,,,,,,,,,,,,
7511,MoveNet_SP_Lightning,,0,True,False,76.05918747922567,1,True,,,,,,,,,,,,
7816,MoveNet_SP_Lightning,,0,True,False,73.62404498531713,7,False,,,,,,,,,,,,
7977,MoveNet_SP_Lightning,10.490689680024484,5,False,False,88.32326986700618,1,True,,6.192633039402896,,,,,8.253724907548127,6.269471672387087,,,15.483355052475654,16.254263728308658
8211,MoveNet_SP_Lightning,,0,True,False,38.658763560155414,2,False,,,,,,,,,,,,
8690,MoveNet_SP_Lightning,9.437780036943636,2,False,False,125.90174740645978,3,False,,11.93780186088254,,6.93775821300473,,,,,,,,
9448,MoveNet_SP_Lightning,9.169661628235064,5,False,False,232.88892202077795,1,True,6.575370465644149,13.505957449577894,3.988025947222741,,,,9.765697390447409,12.013256888283122,,,,
9483,MoveNet_SP_Lightning,,0,True,False,135.67332088513203,1,True,,,,,,,,,,,,
9891,MoveNet_SP_Lightning,6.2943290441240585,2,False,False,89.8359616189419,2,False,,,9.946631177681162,,2.642026910566954,,,,,,,
10707,MoveNet_SP_Lightning,11.98503937743071,1,False,False,75.13321502504735,3,False,,11.98503937743071,,,,,,,,,,
10764,MoveNet_SP_Lightning,11.40042640742876,4,False,False,140.80127840328723,1,True,32.28253529227763,10.352275185544126,,1.3985656939880131,,,,,,,,1.5683294579052713
11197,MoveNet_SP_Lightning,10.88982806818355,1,False,False,43.660622991432454,3,False,,,,,,,,10.88982806818355,,,,
11699,MoveNet_SP_Lightning,24.392286725315444,5,False,False,180.80721777628239,3,False,6.392602078022272,,5.3853551726127336,,2.7723878594141884,101.64688307321698,5.764205443311031,,,,,
12120,MoveNet_SP_Lightning,47.342739755081936,4,False,False,31.48412298286233,2,False,25.525292165430002,52.911166361206355,,,,,,,58.22504882542782,52.70945166826356,,
12280,MoveNet_SP_Lightning,,0,True,False,39.528470752104745,1,True,,,,,,,,,,,,
12639,MoveNet_SP_Lightning,,0,True,False,98.50126902735822,7,False,,,,,,,,,,,,
12670,MoveNet_SP_Lightning,,0,True,False,95.84492683496607,9,False,,,,,,,,,,,,
13177,MoveNet_SP_Lightning,4.629014673785732,2,False,False,164.58432489152787,1,True,6.944335997126186,,,,,,,,,,2.313693350445278,
13201,MoveNet_SP_Lightning,8.01937567780751,4,False,False,114.20267072183557,1,True,,,,3.6560916506163124,,5.076214135236215,,22.070635104197642,1.2745618211798764,,,
13291,MoveNet_SP_Lightning,10.90844780901574,3,False,False,58.60034129593445,4,False,,,,,,,12.572664889893687,,4.4070205417264825,,15.74565799542705,
13546,MoveNet_SP_Lightning,8.325464832901323,3,False,False,67.54628043053148,1,True,,,,,5.78940152641383,,,,4.7070484663024486,,14.479944505987689,
13729,MoveNet_SP_Lightning,6.043308385014708,3,False,False,103.5434691325339,4,False,,,8.746051413627272,,5.381071009120459,,,,,,4.002802732296391,
13774,MoveNet_SP_Lightning,,0,True,False,24.50510150968569,1,True,,,,,,,,,,,,
15597,MoveNet_SP_Lightning,,0,True,False,31.531730050855124,1,True,,,,,,,,,,,,
15660,MoveNet_SP_Lightning,15.28643498179286,1,False,False,41.48795005781799,1,True,15.28643498179286,,,,,,,,,,,
15956,MoveNet_SP_Lightning,31.831321187684765,4,False,False,56.00892785976178,1,True,47.356123757792226,29.22468836045715,,,,,36.486088262013,14.258384370476671,,,,
16249,MoveNet_SP_Lightning,3.0197106465220376,1,False,False,86.00145347608958,4,False,,3.0197106465220376,,,,,,,,,,
17436,MoveNet_SP_Lightning,,0,True,False,45.069390943299865,1,True,,,,,,,,,,,,
17905,MoveNet_SP_Lightning,3.5057493855195863,7,False,False,105.61841695462019,1,True,4.81831318507212,,,3.5612871175142025,,0.2015341971053584,,6.796011700875428,3.473782377195668,1.3478226572601548,,4.341494463614172
18150,MoveNet_SP_Lightning,,0,True,False,199.5056390180488,2,False,,,,,,,,,,,,
18491,MoveNet_SP_Lightning,,0,True,False,45.40099117860754,9,False,,,,,,,,,,,,
18837,MoveNet_SP_Lightning,,0,True,False,37.58324094593227,4,False,,,,,,,,,,,,
19432,MoveNet_SP_Lightning,9.598269250402005,5,False,False,102.5109750221897,1,True,,13.37256903395973,,,,17.021821468646404,,0.983867175225264,4.852572139585052,,11.760516434593578,
20333,MoveNet_SP_Lightning,7.189069013992059,5,False,False,134.892549831338,1,True,10.206912935107002,17.135633011515587,0.9308105915124922,5.670686204120512,,2.0013023277047024,,,,,,
21167,MoveNet_SP_Lightning,10.447553578711636,2,False,False,235.75676024241596,2,False,7.9872334923285,,,,,,12.90787366509477,,,,,
21604,MoveNet_SP_Lightning,1.4825050577380132,5,False,False,327.5061068132929,1,True,4.549791048830021,,1.0687463558491117,0.6708889208391181,0.7705789572504235,0.35252000592139165,,,,,,
21839,MoveNet_SP_Lightning,8.862417285406353,1,False,False,53.150729063673246,2,False,8.862417285406353,,,,,,,,,,,
21879,MoveNet_SP_Lightning,,0,True,False,58.706899083497845,3,False,,,,,,,,,,,,
21903,MoveNet_SP_Lightning,28.14278182168783,1,False,False,107.80074211247342,2,False,,28.14278182168783,,,,,,,,,,
22479,MoveNet_SP_Lightning,6.748915000363648,3,False,False,179.76790592316527,1,True,7.284315750132958,7.951652570804647,,,,5.010776680153339,,,,,,
22705,MoveNet_SP_Lightning,10.166409364254175,8,False,False,133.0460446612375,1,True,9.99554981088511,7.080746309450163,7.639428805937147,,,,17.443941077564546,12.79150113631094,9.082889836769372,6.043750371057285,11.253467566058841,
22935,MoveNet_SP_Lightning,4.920584952011451,7,False,False,231.05410621756974,2,False,2.5688287217132895,7.490373363470688,1.2300027081726959,,3.536648171450633,3.7673022121556063,11.89865710739733,3.9522823797199127,,,,
23034,MoveNet_SP_Lightning,,0,True,False,29.154759474226502,1,True,,,,,,,,,,,,
23126,MoveNet_SP_Lightning,32.21426717817507,6,False,False,90.5,1,True,17.167383168691924,3.8645546720548443,,,,,,14.152202342663692,50.41402644140274,46.01380981496373,,61.673626629273514
23359,MoveNet_SP_Lightning,4.746887997497582,2,False,False,50.70009861923347,1,True,5.432696811985065,,,,,,4.0610791830101,,,,,
24243,MoveNet_SP_Lightning,5.246038549364277,3,False,False,71.21270953980054,2,False,5.974026354687098,,,,,,3.2819926840890745,,,,6.48209660931666,
25057,MoveNet_SP_Lightning,6.146044249559482,4,False,False,111.50448421476152,2,False,6.501205762522767,6.108107310445929,,,,,5.5858720913372055,6.3889918339320255,,,,
25228,MoveNet_SP_Lightning,5.897389273454893,4,False,False,107.0420478129973,1,True,1.5148338067682747,,,12.669438467217795,,,4.277614733186297,5.127670086647207,,,,
25386,MoveNet_SP_Lightning,6.076999275024301,1,False,False,125.51693112883218,2,False,,,,6.076999275024301,,,,,,,,
25393,MoveNet_SP_Lightning,11.608453268068466,5,False,False,102.20689800595653,2,False,4.866907587905571,,,,,,16.942365375507183,12.77245523653529,,17.742427773168256,5.718110367226024,
25424,MoveNet_SP_Lightning,14.050508147783182,2,False,False,117.96715644619056,1,True,,,,9.206009949066324,,,18.89500634650004,,,,,
26690,MoveNet_SP_Lightning,46.49206931688334,1,False,False,76.78704317786953,7,False,,46.49206931688334,,,,,,,,,,
26941,MoveNet_SP_Lightning,,0,True,False,31.100643080167973,2,False,,,,,,,,,,,,
27186,MoveNet_SP_Lightning,3.714839419432308,2,False,False,206.52179061784256,1,True,,,,6.424325085384851,,1.0053537534797656,,,,,,
27768,MoveNet_SP_Lightning,,0,True,False,43.78641341786285,1,True,,,,,,,,,,,,
27972,MoveNet_SP_Lightning,14.146999389233684,2,False,False,66.87675231349083,1,True,,3.2179969532374417,,,,,,25.076001825229927,,,,
29984,MoveNet_SP_Lightning,,0,True,False,24.046829312822098,1,True,,,,,,,,,,,,
30504,MoveNet_SP_Lightning,38.42788246123294,4,False,False,124.20346210955636,1,True,56.81175054656116,,,,,,25.838983873767734,34.9243204920743,36.136474932528586,,,
30828,MoveNet_SP_Lightning,,0,True,False,87.03591212827037,1,True,,,,,,,,,,,,
31093,MoveNet_SP_Lightning,11.348060019887585,4,False,False,78.81148393476677,1,True,10.806409800159736,8.420725921970956,,,,5.192898590835808,,20.972205766583844,,,,
31217,MoveNet_SP_Lightning,120.43275240657404,3,False,True,43.06100323959023,1,True,,20.944622945580342,,,,,,,,,180.2869598441942,160.0666744299476
31296,MoveNet_SP_Lightning,18.924014446108824,2,False,False,88.18304825758747,12,False,,,,29.830310198932658,,,,,,,,8.01771869328499
32081,MoveNet_SP_Lightning,5.706532380743204,5,False,False,93.60822613424527,1,True,,8.235988156519237,2.2875608025825023,2.639940602870871,,7.7414386446956325,,,,7.627733697047777,,
32570,MoveNet_SP_Lightning,13.350219502818497,2,False,False,33.80088756231114,1,True,15.943097983008483,10.757341022628509,,,,,,,,,,
32735,MoveNet_SP_Lightning,,0,True,False,54.037024344425184,2,False,,,,,,,,,,,,
32817,MoveNet_SP_Lightning,,0,True,False,169.6540597804839,1,True,,,,,,,,,,,,
32861,MoveNet_SP_Lightning,3.4574307910901325,1,False,False,170.5,1,True,,3.4574307910901325,,,,,,,,,,
32887,MoveNet_SP_Lightning,7.444568752044504,4,False,False,93.6335943985918,2,False,6.798085184504653,8.428671703743765,,,,,8.133782765053828,6.417735354875773,,,,
32901,MoveNet_SP_Lightning,6.322809331880384,4,False,False,165.83500836674986,4,False,5.444706028353983,,5.396191597501693,,6.9466974319210895,,7.503642269744769,,,,,
33005,MoveNet_SP_Lightning,15.62061326924192,3,False,False,47.01063709417264,1,True,15.10006964671338,9.904213442185625,,,,,,21.85755671882675,,,,
33104,MoveNet_SP_Lightning,13.693377056090792,2,False,False,124.46887161053561,3,False,,5.535066466473626,,,,,,,,21.85168764570796,,
33221,MoveNet_SP_Lightning,,0,True,False,28.570089254323307,6,False,,,,,,,,,,,,
33368,MoveNet_SP_Lightning,9.094833194912244,5,False,False,129.07846450899547,1,True,,,,,,,9.459990260684673,6.982715380462541,,8.388607513686184,7.964330541743994,12.678522277983827
33638,MoveNet_SP_Lightning,3.4287326531254583,1,False,False,69.09594778277523,1,True,,,,,,,,3.4287326531254583,,,,
33759,MoveNet_SP_Lightning,9.134003790139648,5,False,False,100.77326034221578,1,True,,9.754030818486227,,,,,10.790002402818734,,11.646607774976802,10.05923278039696,,3.420145174019515
34139,MoveNet_SP_Lightning,77.09568002754753,1,False,False,100.53108971855423,2,False,,,,,,,,,77.09568002754753,,,
34452,MoveNet_SP_Lightning,15.437519230516022,1,False,False,31.184932259025352,1,True,,15.437519230516022,,,,,,,,,,
36539,MoveNet_SP_Lightning,8.976781311805075,7,False,False,68.58935777509511,2,False,6.823414862025598,14.864135790498715,8.062470513701154,,,,,9.064778461428796,8.149149937686467,,8.105802004511842,7.767717612782955
36936,MoveNet_SP_Lightning,3.159759157743436,1,False,False,125.00899967602332,2,False,3.159759157743436,,,,,,,,,,,
37689,MoveNet_SP_Lightning,,0,True,False,20.940391591371924,1,True,,,,,,,,,,,,
37751,MoveNet_SP_Lightning,,0,True,False,30.01666203960727,1,True,,,,,,,,,,,,
37988,MoveNet_SP_Lightning,9.472235837120136,3,False,False,86.37129152675674,2,False,7.1293479201108605,,,,,,7.83732087978422,,13.450038711465329,,,
38048,MoveNet_SP_Lightning,,0,True,False,18.200274723201296,1,True,,,,,,,,,,,,
38118,MoveNet_SP_Lightning,11.855900114093469,4,False,False,36.585516259853435,1,True,5.685137109822172,17.79198095489646,9.962654864026563,13.983827527628678,,,,,,,,
38210,MoveNet_SP_Lightning,10.624240002502065,6,False,False,68.09001395212076,1,True,4.465405304669015,,,,1.3491333907928522,4.120285946831401,,,,15.271840255337143,9.899199831360479,28.639575286021508
38829,MoveNet_SP_Lightning,1.292784630385371,1,False,False,76.23647421018367,5,False,,,,,,,,,1.292784630385371,,,
39405,MoveNet_SP_Lightning,,0,True,False,20.81465829649865,1,True,,,,,,,,,,,,
39480,MoveNet_SP_Lightning,4.5825778003542545,2,False,False,116.9283968931414,1,True,,0.614266358866654,,8.550889241841855,,,,,,,,
39551,MoveNet_SP_Lightning,10.87901443844621,7,False,False,80.40055969954437,1,True,,15.246810239118336,,,,,12.685040355752772,8.555417611573338,7.739634232251645,4.913614514827742,15.964141457768596,11.04844265783106
39785,MoveNet_SP_Lightning,11.52550472157237,1,False,False,22.588713996153036,1,True,,11.52550472157237,,,,,,,,,,
39914,MoveNet_SP_Lightning,6.853703381257007,6,False,False,110.59159100040111,2,False,5.112264520380575,,,6.488424956360861,,4.542791094243327,10.591635143523934,,2.937370640270876,,11.44973393276247,
39951,MoveNet_SP_Lightning,40.17496644984795,2,False,False,51.29571132170798,1,True,,,,,,,,,,58.188917251854846,22.16101564784105,
40036,MoveNet_SP_Lightning,39.283602007760116,2,False,False,55.679888649313945,1,True,,,,,,,26.714145704571727,51.853058310948505,,,,
40757,MoveNet_SP_Lightning,,0,True,False,186.04300578092153,1,True,,,,,,,,,,,,
41990,MoveNet_SP_Lightning,82.0845263735453,3,False,False,80.82233602167163,3,False,,6.1707766267715565,,,,,,4.079849381995905,,,236.00295311186846,
42102,MoveNet_SP_Lightning,11.349139503124064,7,False,False,164.506838763621,1,True,13.66096090832181,,,8.732389328395831,,4.963474178783717,,36.489294259602644,,10.604316664603568,2.353449631544805,2.6400915506160616
42628,MoveNet_SP_Lightning,,0,True,False,33.094561486745825,5,False,,,,,,,,,,,,
43816,MoveNet_SP_Lightning,15.547534538873498,5,False,False,70.06425622241343,2,False,26.166478184853986,,,,,,6.777866747986326,27.4393062025176,0.9479140901194264,,16.406107468890152,
44195,MoveNet_SP_Lightning,,0,True,False,67.97977640445723,2,False,,,,,,,,,,,,
44279,MoveNet_SP_Lightning,,0,True,False,230.21728866442677,2,False,,,,,,,,,,,,
44590,MoveNet_SP_Lightning,,0,True,False,22.005681084665387,2,False,,,,,,,,,,,,
45070,MoveNet_SP_Lightning,10.715017119423447,2,False,False,174.04597093871493,1,True,9.779296540059073,11.650737698787818,,,,,,,,,,
45550,MoveNet_SP_Lightning,853.4996838066115,1,False,True,36.41771546926029,2,False,,853.4996838066115,,,,,,,,,,
46048,MoveNet_SP_Lightning,,0,True,False,70.21395872616783,1,True,,,,,,,,,,,,
46252,MoveNet_SP_Lightning,,0,True,False,55.64395744373328,3,False,,,,,,,,,,,,
46497,MoveNet_SP_Lightning,3.0656473960060966,1,False,False,92.88971956034747,2,False,,3.0656473960060966,,,,,,,,,,
46872,MoveNet_SP_Lightning,4.8867934178245225,3,False,False,76.55063683601855,2,False,,,3.4562269553220926,,5.128810855364685,,,,6.0753424427867895,,,
47571,MoveNet_SP_Lightning,,0,True,False,47.0,2,False,,,,,,,,,,,,
47585,MoveNet_SP_Lightning,10.596088980716335,5,False,False,154.0073050215476,4,False,7.615283365937247,7.400652640754486,,,,,16.33918856293667,16.71555166458793,,,4.909768669365334,
47819,MoveNet_SP_Lightning,13.39349187047337,1,False,False,67.02984409947557,1,True,,,,,,,,13.39349187047337,,,,
48396,MoveNet_SP_Lightning,5.570681708949539,2,False,False,228.46717488514625,2,False,,,,1.961571358324754,,,,9.179792059574323,,,,
48504,MoveNet_SP_Lightning,,0,True,False,36.58209944768069,1,True,,,,,,,,,,,,
48555,MoveNet_SP_Lightning,,0,True,False,17.44276354251241,1,True,,,,,,,,,,,,
49060,MoveNet_SP_Lightning,,0,True,False,19.50640920313116,3,False,,,,,,,,,,,,
49259,MoveNet_SP_Lightning,,0,True,False,45.13590588434002,1,True,,,,,,,,,,,,
49759,MoveNet_SP_Lightning,36.03966355644764,1,False,False,95.25754563287887,8,False,,,,,,,36.03966355644764,,,,,
50145,MoveNet_SP_Lightning,7.090167679366957,4,False,False,85.24816713572204,2,False,5.915000602212101,,,3.816102531143635,,,5.717155615231318,12.912411968880768,,,,
50326,MoveNet_SP_Lightning,8.594730527121772,1,False,False,67.79749257900325,1,True,,,,,,,,,,8.594730527121772,,
50638,MoveNet_SP_Lightning,60.21165111605683,2,False,False,99.32270636667126,1,True,,41.17615857277468,,,,79.24714365933897,,,,,,
51314,MoveNet_SP_Lightning,33.198586011245425,2,False,False,59.42432162002356,1,True,49.830535736666185,,,,,,16.56663628582466,,,,,
51610,MoveNet_SP_Lightning,23.76497893675201,1,False,False,103.92425126023281,1,True,,23.76497893675201,,,,,,,,,,
51712,MoveNet_SP_Lightning,13.534426396761114,1,False,False,76.03453162872775,1,True,,,,,,,13.534426396761114,,,,,
51938,MoveNet_SP_Lightning,,0,True,False,33.84154251803543,1,True,,,,,,,,,,,,
52007,MoveNet_SP_Lightning,,0,True,False,39.50316443020736,3,False,,,,,,,,,,,,
52591,MoveNet_SP_Lightning,8.989760354162636,6,False,False,125.32358118087753,1,True,7.251404710544167,1.4997477112446824,,,,,,3.388223612855459,24.068244783388497,,13.732416611993973,3.9985246949490323
52996,MoveNet_SP_Lightning,,0,True,False,89.06879363727792,5,False,,,,,,,,,,,,
53626,MoveNet_SP_Lightning,114.50954260935657,1,False,True,62.517997408746226,4,False,,,,,,,,,114.50954260935657,,,
54164,MoveNet_SP_Lightning,18.22048814722648,3,False,False,63.32850858815483,1,True,,20.349700168063677,,,,,,20.748855279418898,13.562908994196862,,,
54592,MoveNet_SP_Lightning,6.400614379354071,1,False,False,154.95160534825058,2,False,,,6.400614379354071,,,,,,,,,
54593,MoveNet_SP_Lightning,,0,True,False,58.36308764964376,5,False,,,,,,,,,,,,
54654,MoveNet_SP_Lightning,11.3133307608184,6,False,False,228.5262566971244,1,True,6.984083031538304,8.527209087302792,,,3.7875541751690154,4.54091672031978,18.201516132844677,25.838705417735834,,,,
54931,MoveNet_SP_Lightning,5.6293365274141385,4,False,False,122.52550754842846,1,True,,2.8427800621671713,,,,,5.084720505768279,5.797888450777634,,,8.79195709094347,
55150,MoveNet_SP_Lightning,,0,True,False,40.527768258318886,2,False,,,,,,,,,,,,
55950,MoveNet_SP_Lightning,4.908825509149857,4,False,False,98.02040603874276,1,True,,5.461308223053607,,,5.447727134401812,,,4.677282545837147,4.048984133306858,,,
57597,MoveNet_SP_Lightning,,0,True,False,48.25971404805462,4,False,,,,,,,,,,,,
57672,MoveNet_SP_Lightning,12.285288797643732,2,False,False,42.42640687119285,10,False,16.972813196740606,7.5977643985468575,,,,,,,,,,
59044,MoveNet_SP_Lightning,,0,True,False,249.1450380802315,7,False,,,,,,,,,,,,
59635,MoveNet_SP_Lightning,,0,True,False,65.00192304847603,6,False,,,,,,,,,,,,
60347,MoveNet_SP_Lightning,6.892237091375934,5,False,False,96.44946863513557,1,True,4.696341637723723,,12.982398511511938,4.104073709256674,,,,,8.946764518428742,,3.731607079958594,
60899,MoveNet_SP_Lightning,11.702489203561065,4,False,False,113.58366960087176,1,True,,,14.251617126270563,19.30343441534588,,,4.929745140641709,,8.325160131986106,,,
60932,MoveNet_SP_Lightning,5.099445600100153,3,False,False,175.5135322418189,8,False,4.429404137129626,7.559806301927477,,3.3091263612433544,,,,,,,,
61418,MoveNet_SP_Lightning,,0,True,False,43.85487430149584,7,False,,,,,,,,,,,,
61747,MoveNet_SP_Lightning,9.391192655000717,6,False,False,126.3210196285638,1,True,4.015173744329221,,8.256936817352784,,,,8.365335060281815,13.741134145031841,,8.485345179875118,13.483230983133518,
61960,MoveNet_SP_Lightning,9.075947177658064,3,False,False,107.80653969031749,1,True,12.105664303115223,7.574692571186581,,,,,,,,7.547484658672388,,
62355,MoveNet_SP_Lightning,,0,True,False,52.392747589718944,3,False,,,,,,,,,,,,
62692,MoveNet_SP_Lightning,38.814924622860076,2,False,False,75.43208866258443,1,True,3.5532362129648574,,,,,,,,74.07661303275529,,,
63047,MoveNet_SP_Lightning,1260.7254304137018,3,False,True,23.521266972678152,4,False,608.3054108047415,1404.7669689281097,,1769.1039115082542,,,,,,,,
63154,MoveNet_SP_Lightning,30.80345949702735,1,False,False,29.5296461204668,1,True,,30.80345949702735,,,,,,,,,,
64462,MoveNet_SP_Lightning,3.7718789277832747,10,False,False,90.00138887817232,1,True,1.503226854788451,5.565910878971204,3.4361458026622285,,3.535030663973339,,6.2471702689393664,5.6386765874358895,0.7497212421873759,2.7339710423182364,2.0771595135762966,6.231776422980358
64718,MoveNet_SP_Lightning,5.3058403506382925,9,False,False,160.73114197317207,1,True,10.49869087945995,7.496621193785874,2.255879088367063,5.0520595180250325,,3.5331079908607066,8.740736096463142,5.621778051828963,3.982072698310631,0.5716176386432702,,
64868,MoveNet_SP_Lightning,5.546170794694781,3,False,False,112.58885380000989,1,True,,8.758414552412287,,3.6000881699467002,,,,,,4.280009661725356,,
65288,MoveNet_SP_Lightning,,0,True,False,33.324165405903265,5,False,,,,,,,,,,,,
65350,MoveNet_SP_Lightning,,0,True,False,65.45991139621256,3,False,,,,,,,,,,,,
65736,MoveNet_SP_Lightning,6.786833384639999,7,False,False,99.9599919967984,1,True,,10.517759883348498,,,,,16.254853525994363,7.143915781712005,5.0265616308531245,2.226007849201373,1.1086932896969472,5.230041731673684
65798,MoveNet_SP_Lightning,,0,True,False,21.213203435596427,2,False,,,,,,,,,,,,
66038,MoveNet_SP_Lightning,,0,True,False,30.5,4,False,,,,,,,,,,,,
66706,MoveNet_SP_Lightning,,0,True,False,46.5537323960174,2,False,,,,,,,,,,,,
67180,MoveNet_SP_Lightning,7.255274277717446,6,False,False,127.53528923399986,1,True,,9.19005723606179,,1.0598248276924045,,3.42093942164366,11.863161596475507,12.541806270806525,,5.455856313624792,,
67310,MoveNet_SP_Lightning,,0,True,False,84.35786863120713,4,False,,,,,,,,,,,,
67616,MoveNet_SP_Lightning,,0,True,False,41.43669871020132,1,True,,,,,,,,,,,,
68387,MoveNet_SP_Lightning,,0,True,False,45.13590588434002,4,False,,,,,,,,,,,,
68409,MoveNet_SP_Lightning,,0,True,False,92.5972461793546,10,False,,,,,,,,,,,,
68628,MoveNet_SP_Lightning,6.785258943030928,2,False,False,98.71676655968832,1,True,,,,,3.1771802370220468,,,10.39333764903981,,,,
69224,MoveNet_SP_Lightning,69.72571861972338,2,False,False,123.606229616472,2,False,132.45590876889213,,,,,6.995528470554644,,,,,,
69356,MoveNet_SP_Lightning,8.324970773936514,3,False,False,94.70084476919939,3,False,6.363347561241524,13.31354951417317,,,,,,5.298015246394846,,,,
70254,MoveNet_SP_Lightning,,0,True,False,22.051077071199945,4,False,,,,,,,,,,,,
71877,MoveNet_SP_Lightning,3.5136252778816957,1,False,False,92.92604586443997,1,True,,3.5136252778816957,,,,,,,,,,
72281,MoveNet_SP_Lightning,7.6951105671011915,8,False,False,180.30598991714058,1,True,14.500588000067227,16.394664250246993,,6.347917054889296,,,9.247625837347103,1.3438752874894977,2.4951940535162946,4.94305072735631,,6.2879693258968095
72795,MoveNet_SP_Lightning,,0,True,False,25.04495957273639,3,False,,,,,,,,,,,,
72852,MoveNet_SP_Lightning,,0,True,False,18.506755523321747,2,False,,,,,,,,,,,,
73153,MoveNet_SP_Lightning,7.41992445145287,8,False,False,214.55826714438203,1,True,,7.660700826707531,5.497377712146237,2.1644625450953723,1.9181048813581811,4.118549946378626,11.03161271113128,7.195448095154496,,19.773138893651236,,
73702,MoveNet_SP_Lightning,,0,True,False,238.32016280625524,2,False,,,,,,,,,,,,
73946,MoveNet_SP_Lightning,6.185288849515956,3,False,False,143.10573014383456,2,False,,10.162193588985133,,6.5018247458348615,,1.8918482137278765,,,,,,
74058,MoveNet_SP_Lightning,,0,True,False,36.28360511305347,2,False,,,,,,,,,,,,
74092,MoveNet_SP_Lightning,8.596599138587045,2,False,False,52.77546778570513,3,False,,,,,,6.852243951186857,,,,,10.340954325987234,
74860,MoveNet_SP_Lightning,26.2689263808143,2,False,False,30.066592756745816,1,True,,,,,,,45.517664495209445,7.020188266419157,,,,
75612,MoveNet_SP_Lightning,,0,True,False,84.03719414640163,8,False,,,,,,,,,,,,
76468,MoveNet_SP_Lightning,12.824007531140946,1,False,False,49.09175083453431,2,False,,,,,,,,,12.824007531140946,,,
76547,MoveNet_SP_Lightning,15.74114431839844,2,False,False,100.77822185373186,1,True,,,13.173761238345556,,,,18.308527398451325,,,,,
76625,MoveNet_SP_Lightning,,0,True,False,41.512046444375635,5,False,,,,,,,,,,,,
79031,MoveNet_SP_Lightning,11.955106501874578,7,False,False,156.56468311851177,1,True,,11.357146365599538,,,54.13496926648917,,5.53785321640921,6.395524008218321,,0.9842778384480204,2.878075867928662,2.39789895002913
79229,MoveNet_SP_Lightning,7.800059009912738,2,False,False,42.52646234992984,1,True,,2.732525650827715,,,,,12.86759236899776,,,,,
79969,MoveNet_SP_Lightning,,0,True,False,73.11976476986233,3,False,,,,,,,,,,,,
80153,MoveNet_SP_Lightning,13.793098303495698,1,False,False,92.89241088485109,1,True,,13.793098303495698,,,,,,,,,,
